fitness,fix_prob,fix_error
1.0,0.02,0.008854377448471461
1.2,0.17,0.023757104200638597
1.4,0.281,0.02842808470509401
1.5999999999999999,0.369,0.030518125761586343
1.7999999999999998,0.448,0.03145129568078238
1.9999999999999998,0.5,0.03162277660168379
2.1999999999999997,0.542,0.031511013947507306
2.3999999999999995,0.577,0.031245543682259715
2.5999999999999996,0.604,0.03093114934818944
2.8,0.634,0.03046598102802534
2.9999999999999996,0.671,0.029715921658262593
3.1999999999999993,0.69,0.02925064101861701
3.3999999999999995,0.71,0.028698432012916664
3.5999999999999996,0.715,0.028549956217129302
3.7999999999999994,0.731,0.028045605716404128
3.999999999999999,0.75,0.027386127875258306
4.199999999999999,0.761,0.02697250451849068
4.3999999999999995,0.767,0.02673656672050471
4.6,0.773,0.026493093439611766
4.799999999999999,0.779,0.02624187493301498
4.999999999999999,0.787,0.025894478175858264
